trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607
{'loss': '0.6921', 'grad_norm': '0.6697', 'learning_rate': '8.911e-06', 'epoch': '0.008864'}
{'loss': '0.01237', 'grad_norm': '0.02985', 'learning_rate': '3.007e-05', 'epoch': '2.126'}
{'eval_loss': '0.02976', 'eval_runtime': '56.17', 'eval_samples_per_second': '16.91', 'eval_steps_per_second': '8.456', 'epoch': '2.126'}
{'loss': '0.02764', 'grad_norm': '0.0261', 'learning_rate': '2.976e-05', 'epoch': '2.135'}
{'loss': '0.009572', 'grad_norm': '0.0257', 'learning_rate': '2.946e-05', 'epoch': '2.144'}
{'loss': '0.009117', 'grad_norm': '0.04321', 'learning_rate': '2.915e-05', 'epoch': '2.152'}
{'loss': '0.01495', 'grad_norm': '0.01844', 'learning_rate': '2.885e-05', 'epoch': '2.161'}
{'loss': '0.02249', 'grad_norm': '0.02677', 'learning_rate': '2.855e-05', 'epoch': '2.17'}
{'loss': '0.01233', 'grad_norm': '0.01852', 'learning_rate': '2.824e-05', 'epoch': '2.179'}
{'loss': '0.01905', 'grad_norm': '0.04222', 'learning_rate': '2.794e-05', 'epoch': '2.188'}
{'loss': '0.02764', 'grad_norm': '0.03361', 'learning_rate': '2.763e-05', 'epoch': '2.197'}
{'loss': '0.008884', 'grad_norm': '0.007154', 'learning_rate': '2.733e-05', 'epoch': '2.206'}
{'loss': '0.00746', 'grad_norm': '0.009157', 'learning_rate': '2.702e-05', 'epoch': '2.215'}
{'loss': '0.01661', 'grad_norm': '0.01781', 'learning_rate': '2.672e-05', 'epoch': '2.223'}
{'loss': '0.008712', 'grad_norm': '0.01603', 'learning_rate': '2.642e-05', 'epoch': '2.232'}
{'loss': '0.0128', 'grad_norm': '0.004818', 'learning_rate': '2.611e-05', 'epoch': '2.241'}
{'loss': '0.01361', 'grad_norm': '0.01317', 'learning_rate': '2.581e-05', 'epoch': '2.25'}
{'loss': '0.009286', 'grad_norm': '0.02363', 'learning_rate': '2.55e-05', 'epoch': '2.259'}
{'loss': '0.01416', 'grad_norm': '0.02277', 'learning_rate': '2.52e-05', 'epoch': '2.268'}
{'loss': '0.01176', 'grad_norm': '0.01283', 'learning_rate': '2.489e-05', 'epoch': '2.277'}
{'loss': '0.007337', 'grad_norm': '0.02124', 'learning_rate': '2.459e-05', 'epoch': '2.285'}
{'loss': '0.009358', 'grad_norm': '0.02005', 'learning_rate': '2.428e-05', 'epoch': '2.294'}
{'loss': '0.006185', 'grad_norm': '0.04009', 'learning_rate': '2.398e-05', 'epoch': '2.303'}
{'eval_loss': '0.03177', 'eval_runtime': '56.4', 'eval_samples_per_second': '16.84', 'eval_steps_per_second': '8.422', 'epoch': '2.303'}
{'loss': '0.02791', 'grad_norm': '0.02632', 'learning_rate': '2.368e-05', 'epoch': '2.312'}
{'loss': '0.008048', 'grad_norm': '0.005431', 'learning_rate': '2.337e-05', 'epoch': '2.321'}
{'loss': '0.07171', 'grad_norm': '0.01613', 'learning_rate': '2.307e-05', 'epoch': '2.33'}
{'loss': '0.01522', 'grad_norm': '0.03408', 'learning_rate': '2.276e-05', 'epoch': '2.339'}
{'loss': '0.007839', 'grad_norm': '0.01775', 'learning_rate': '2.246e-05', 'epoch': '2.347'}
{'loss': '0.01665', 'grad_norm': '0.009377', 'learning_rate': '2.215e-05', 'epoch': '2.356'}
{'loss': '0.007338', 'grad_norm': '0.01146', 'learning_rate': '2.185e-05', 'epoch': '2.365'}
{'loss': '0.03321', 'grad_norm': '0.02908', 'learning_rate': '2.155e-05', 'epoch': '2.374'}
{'loss': '0.04383', 'grad_norm': '0.01154', 'learning_rate': '2.124e-05', 'epoch': '2.383'}
{'loss': '0.009754', 'grad_norm': '0.01261', 'learning_rate': '2.094e-05', 'epoch': '2.392'}
{'loss': '0.02902', 'grad_norm': '0.01065', 'learning_rate': '2.063e-05', 'epoch': '2.401'}
{'loss': '0.03865', 'grad_norm': '0.01994', 'learning_rate': '2.033e-05', 'epoch': '2.41'}
{'loss': '0.00756', 'grad_norm': '0.02343', 'learning_rate': '2.002e-05', 'epoch': '2.418'}
{'loss': '0.00861', 'grad_norm': '0.01656', 'learning_rate': '1.972e-05', 'epoch': '2.427'}
{'loss': '0.01562', 'grad_norm': '0.01672', 'learning_rate': '1.942e-05', 'epoch': '2.436'}
{'loss': '0.01012', 'grad_norm': '0.02402', 'learning_rate': '1.911e-05', 'epoch': '2.445'}
{'loss': '0.009607', 'grad_norm': '0.03682', 'learning_rate': '1.881e-05', 'epoch': '2.454'}
{'loss': '0.006897', 'grad_norm': '0.002644', 'learning_rate': '1.85e-05', 'epoch': '2.463'}
{'loss': '0.0121', 'grad_norm': '0.01615', 'learning_rate': '1.82e-05', 'epoch': '2.472'}
{'loss': '0.01249', 'grad_norm': '0.03341', 'learning_rate': '1.789e-05', 'epoch': '2.48'}
{'eval_loss': '0.03061', 'eval_runtime': '56.47', 'eval_samples_per_second': '16.82', 'eval_steps_per_second': '8.411', 'epoch': '2.48'}
{'loss': '0.009303', 'grad_norm': '0.00631', 'learning_rate': '1.759e-05', 'epoch': '2.489'}
{'loss': '0.01013', 'grad_norm': '0.005881', 'learning_rate': '1.729e-05', 'epoch': '2.498'}
{'loss': '0.02807', 'grad_norm': '0.004884', 'learning_rate': '1.698e-05', 'epoch': '2.507'}
{'loss': '0.02994', 'grad_norm': '0.02544', 'learning_rate': '1.668e-05', 'epoch': '2.516'}
{'loss': '0.007956', 'grad_norm': '0.008422', 'learning_rate': '1.637e-05', 'epoch': '2.525'}
{'loss': '0.02262', 'grad_norm': '0.004624', 'learning_rate': '1.607e-05', 'epoch': '2.534'}
{'loss': '0.006986', 'grad_norm': '0.01066', 'learning_rate': '1.576e-05', 'epoch': '2.542'}
{'loss': '0.01391', 'grad_norm': '0.02755', 'learning_rate': '1.546e-05', 'epoch': '2.551'}
{'loss': '0.02411', 'grad_norm': '0.008184', 'learning_rate': '1.516e-05', 'epoch': '2.56'}
{'loss': '0.00648', 'grad_norm': '0.007867', 'learning_rate': '1.485e-05', 'epoch': '2.569'}
{'loss': '0.03475', 'grad_norm': '0.0381', 'learning_rate': '1.455e-05', 'epoch': '2.578'}
{'loss': '0.03977', 'grad_norm': '0.01289', 'learning_rate': '1.424e-05', 'epoch': '2.587'}
{'loss': '0.01197', 'grad_norm': '0.04527', 'learning_rate': '1.394e-05', 'epoch': '2.596'}
{'loss': '0.006823', 'grad_norm': '0.04063', 'learning_rate': '1.363e-05', 'epoch': '2.605'}
{'loss': '0.02798', 'grad_norm': '0.0309', 'learning_rate': '1.333e-05', 'epoch': '2.613'}
{'loss': '0.01238', 'grad_norm': '0.0261', 'learning_rate': '1.302e-05', 'epoch': '2.622'}
{'loss': '0.01458', 'grad_norm': '0.0116', 'learning_rate': '1.272e-05', 'epoch': '2.631'}
{'loss': '0.01373', 'grad_norm': '0.01204', 'learning_rate': '1.242e-05', 'epoch': '2.64'}
{'loss': '0.007709', 'grad_norm': '0.03899', 'learning_rate': '1.211e-05', 'epoch': '2.649'}
{'loss': '0.01306', 'grad_norm': '0.03067', 'learning_rate': '1.181e-05', 'epoch': '2.658'}
{'eval_loss': '0.02982', 'eval_runtime': '56.26', 'eval_samples_per_second': '16.89', 'eval_steps_per_second': '8.443', 'epoch': '2.658'}
{'loss': '0.01015', 'grad_norm': '0.01246', 'learning_rate': '1.15e-05', 'epoch': '2.667'}
{'loss': '0.02392', 'grad_norm': '0.01309', 'learning_rate': '1.12e-05', 'epoch': '2.675'}
{'loss': '0.009477', 'grad_norm': '0.02457', 'learning_rate': '1.089e-05', 'epoch': '2.684'}
{'loss': '0.006', 'grad_norm': '0.003024', 'learning_rate': '1.059e-05', 'epoch': '2.693'}
{'loss': '0.01909', 'grad_norm': '0.02921', 'learning_rate': '1.029e-05', 'epoch': '2.702'}
{'loss': '0.006942', 'grad_norm': '0.03004', 'learning_rate': '9.982e-06', 'epoch': '2.711'}
{'loss': '0.02798', 'grad_norm': '0.00486', 'learning_rate': '9.677e-06', 'epoch': '2.72'}
{'loss': '0.005403', 'grad_norm': '0.03027', 'learning_rate': '9.373e-06', 'epoch': '2.729'}
{'loss': '0.01895', 'grad_norm': '0.009265', 'learning_rate': '9.069e-06', 'epoch': '2.738'}
{'loss': '0.0148', 'grad_norm': '0.01596', 'learning_rate': '8.764e-06', 'epoch': '2.746'}
{'loss': '0.007069', 'grad_norm': '0.007869', 'learning_rate': '8.46e-06', 'epoch': '2.755'}
{'loss': '0.01229', 'grad_norm': '0.02053', 'learning_rate': '8.156e-06', 'epoch': '2.764'}
{'loss': '0.01009', 'grad_norm': '0.03415', 'learning_rate': '7.851e-06', 'epoch': '2.773'}
{'loss': '0.009568', 'grad_norm': '0.01726', 'learning_rate': '7.547e-06', 'epoch': '2.782'}
{'loss': '0.01629', 'grad_norm': '0.03101', 'learning_rate': '7.243e-06', 'epoch': '2.791'}
{'loss': '0.01588', 'grad_norm': '0.03578', 'learning_rate': '6.939e-06', 'epoch': '2.8'}
{'loss': '0.01738', 'grad_norm': '0.0244', 'learning_rate': '6.634e-06', 'epoch': '2.808'}
{'loss': '0.02943', 'grad_norm': '0.008818', 'learning_rate': '6.33e-06', 'epoch': '2.817'}
{'loss': '0.02354', 'grad_norm': '0.01182', 'learning_rate': '6.026e-06', 'epoch': '2.826'}
{'loss': '0.009771', 'grad_norm': '0.01103', 'learning_rate': '5.721e-06', 'epoch': '2.835'}
{'eval_loss': '0.02949', 'eval_runtime': '56.33', 'eval_samples_per_second': '16.86', 'eval_steps_per_second': '8.433', 'epoch': '2.835'}
{'loss': '0.01172', 'grad_norm': '0.02527', 'learning_rate': '5.417e-06', 'epoch': '2.844'}
{'loss': '0.006809', 'grad_norm': '0.01077', 'learning_rate': '5.113e-06', 'epoch': '2.853'}
{'loss': '0.01027', 'grad_norm': '0.0412', 'learning_rate': '4.808e-06', 'epoch': '2.862'}
{'loss': '0.01736', 'grad_norm': '0.02019', 'learning_rate': '4.504e-06', 'epoch': '2.87'}
{'loss': '0.02546', 'grad_norm': '0.0216', 'learning_rate': '4.2e-06', 'epoch': '2.879'}
{'loss': '0.02102', 'grad_norm': '0.01752', 'learning_rate': '3.895e-06', 'epoch': '2.888'}
{'loss': '0.01902', 'grad_norm': '0.0496', 'learning_rate': '3.591e-06', 'epoch': '2.897'}
{'loss': '0.05183', 'grad_norm': '0.001411', 'learning_rate': '3.287e-06', 'epoch': '2.906'}
{'loss': '0.02269', 'grad_norm': '0.04911', 'learning_rate': '2.982e-06', 'epoch': '2.915'}
{'loss': '0.006912', 'grad_norm': '0.02798', 'learning_rate': '2.678e-06', 'epoch': '2.924'}
{'loss': '0.009523', 'grad_norm': '0.008885', 'learning_rate': '2.374e-06', 'epoch': '2.933'}
{'loss': '0.0149', 'grad_norm': '0.02369', 'learning_rate': '2.069e-06', 'epoch': '2.941'}
{'loss': '0.004837', 'grad_norm': '0.02992', 'learning_rate': '1.765e-06', 'epoch': '2.95'}
{'loss': '0.01719', 'grad_norm': '0.02705', 'learning_rate': '1.461e-06', 'epoch': '2.959'}
{'loss': '0.01529', 'grad_norm': '0.05584', 'learning_rate': '1.156e-06', 'epoch': '2.968'}
{'loss': '0.008257', 'grad_norm': '0.03415', 'learning_rate': '8.521e-07', 'epoch': '2.977'}
{'loss': '0.01017', 'grad_norm': '0.03113', 'learning_rate': '5.478e-07', 'epoch': '2.986'}
{'loss': '0.0121', 'grad_norm': '0.01022', 'learning_rate': '2.435e-07', 'epoch': '2.995'}
{'eval_loss': '0.02931', 'eval_runtime': '56.23', 'eval_samples_per_second': '16.89', 'eval_steps_per_second': '8.447', 'epoch': '3'}
{'train_runtime': '1.257e+04', 'train_samples_per_second': '4.306', 'train_steps_per_second': '0.269', 'train_loss': '0.03051', 'epoch': '3'}
